Module,Base,CLK_REG,VER_REG,TEST_REG,EXPECT_VAL
ADCIM,0x19250000,0x180209A0,0xFFC,0x0,0x0000FF08
AUDIO,0x18610000,0x18020830,0x0FC,0x0,0x0000FFFF
CAN0,0x19230000,0x18020980,0xFFC,0x0,0x0000000F
CAN1,0x19231000,0x18020984,0xFFC,0x0,0x0000000F
CE,0x10020000,0x18020418,0xFFC,0x8,0xFFFFFFFF
CIR,0x19260000,0x180209B0,0xFFC,0x0,0x00000003
DE,0x18A00000,0x180208C0,0x010,0x0,0x00000001
DMA,0x10000000,0x18020410,-,0x0,0xFFFFFFFF
DVP,0x18830000,0x18020890,0xFFC,0x0,0xFFFF7775
GE,0x18B00000,0x180208C4,0x00C,0x0,0x0000001F
GMAC0,0x10280000,0x18020440,0xFFC,0x4,0x9FFFFFFF
GMAC1,0x10290000,0x18020444,0xFFC,0x4,0x9FFFFFFF
GPAI,0x19251000,0x180209A4,0xFFC,0x0,0x0000FF01
GPIO,0x18700000,0x1802083C,0xFFC,-,-
GTC,0x19050000,0x1802090C,0xFFC,0x0,0x00000303
I2C0,0x19220000,0x18020960,0x0FC,0x0,0x000007EF
I2C1,0x19221000,0x18020964,0x0FC,0x0,0x000007EF
I2C2,0x19222000,0x18020968,0x0FC,0x0,0x000007EF
I2C3,0x19223000,0x1802096C,0x0FC,0x0,0x000007EF
I2S0,0x18600000,0x18020820,0x074,0x0,0x00070F7F
I2S1,0x18601000,0x18020824,0x074,0x0,0x00070F7F
LCD,0x18800000,0x18020880,0xFFC,0x0,0x3F3F1731
LVDS,0x18810000,0x18020884,0x0FC,0x0,0x00030337
MIPI_DSI,0x18820000,0x18020888,0x0FC,0x0,0x000010FB
MTOP,0x184FF000,0x1802081C,-,0x0,0x10000001
PBUS,0x107F0000,0x180204A0,0xFFC,0x0,0x00000F33
PSADC,0x18210000,0x18020818,0xFFC,0x0,0x16B6FF07
PWM,0x19240000,0x18020990,0xFFC,0x0,0x00000001
PWMCS,0x18200000,0x18020814,0x0FC,0xF000,0x0307003F
RTC,0x19030000,0x18020908,0x8FC,0x804,0x03FF0001
RTP,0x19252000,0x180209A8,0xFFC,0x0,0x000113F1
SDMC0,0x10440000,0x18020470,0x118,0x0,0x0000FFFF
SDMC1,0x10450000,0x18020474,0x118,0x0,0x0000FFFF
SDMC2,0x10460000,0x18020478,0x118,0x0,0x0000FFFF
SID,0x19010000,0x18020904,0x0FC,0x4,0x000001FF
SPI_ENC,0x18100000,0x18020810,0xFFC,0x0,0x00003001
SPI0,0x10400000,0x18020460,0x0,0x4,0x00000083
SPI1,0x10410000,0x18020464,0x0,0x4,0x00000083
SPI2,0x10420000,0x18020468,0x0,0x4,0x00000083
SPI3,0x10430000,0x1802046C,0x0,0x4,0x00000083
SYSCFG,0x18000000,0x18020800,0xFFC,0x4C,0x000001FF
TSEN,0x19253000,0x180209AC,0xFFC,0x0,0x000FFF31
UART0,0x18710000,0x18020840,0x0FC,0xCC,0x000000FF
UART1,0x18711000,0x18020844,0x0FC,0xCC,0x000000FF
UART2,0x18712000,0x18020848,0x0FC,0xCC,0x000000FF
UART3,0x18713000,0x1802084C,0x0FC,0xCC,0x000000FF
UART4,0x18714000,0x18020850,0x0FC,0xCC,0x000000FF
UART5,0x18715000,0x18020854,0x0FC,0xCC,0x000000FF
UART6,0x18716000,0x18020858,0x0FC,0xCC,0x000000FF
UART7,0x18717000,0x1802085C,0x0FC,0xCC,0x000000FF
USB_DEV,0x10200000,0x1802041C,0x050,0x8010,0xFFFFFFFF
USB_HOST0,0x10210000,0x18020420,0x400,0x810,0xFFFFFFFF
USB_HOST1,0x10220000,0x18020424,0x400,0x810,0xFFFFFFFF
USB_PHY0,-,0x18020430,-,-,-
USB_PHY1,-,0x18020434,-,-,-
VE,0x18C00000,0x180208C8,-,0x0,0x00000003
WDT,0x19000000,0x1802020C,0xFFC,0x0E8,0xFFFFFFFF
WRI,0x1900F000,-,0xFFC,0x0,0x00000000
